#timestamp,has_left_eye,has_right_eye,left_x,left_y,left_z,left_x_normalized,left_y_normalized,left_z_normalized,right_x,right_y,right_z,right_x_normalized,right_y_normalized,right_z_normalized
3203209241,1,0,-60.966644,11.063619,498.493113,0.663598,0.472821,0.248754,-3.949878,15.073144,500.839592,0.509923,0.463756,0.249215
3203220344,1,0,-60.870770,11.003727,498.867541,0.663578,0.472764,0.249708,-3.903069,15.194201,501.241558,0.509873,0.463715,0.250022
3203231447,1,0,-60.941540,11.231082,499.283688,0.663561,0.472747,0.250558,-3.922628,15.210433,501.615233,0.509826,0.463715,0.250936
3203242550,1,0,-61.138226,11.568750,499.934302,0.663541,0.472745,0.251412,-3.920583,15.500366,502.285495,0.509798,0.463801,0.251910
3203253654,1,0,-61.005436,11.446150,500.245102,0.663521,0.472843,0.252666,-3.885815,15.653017,502.637185,0.509773,0.463881,0.252926
3203264757,1,0,-61.090626,11.665865,500.633502,0.663518,0.472928,0.253521,-3.894778,15.650382,502.975898,0.509739,0.463962,0.253899
3203275860,1,0,-60.813484,11.811692,500.806393,0.663537,0.472985,0.254377,-3.583448,15.760347,503.114751,0.509691,0.464008,0.254855
3203286963,1,0,-61.059544,11.638424,500.944676,0.663575,0.473080,0.255083,-3.939003,15.818008,503.326294,0.509703,0.464120,0.255421
3203298066,1,0,-61.164589,11.833390,501.247383,0.663606,0.473105,0.255474,-3.941550,15.805009,503.587718,0.509723,0.464185,0.255885
3203309169,1,0,-60.873802,12.013371,501.432849,0.663658,0.473120,0.255879,-3.636094,15.923992,503.737124,0.509778,0.464235,0.256330
3203320272,1,0,-61.172539,11.847299,501.451273,0.663751,0.473102,0.256446,-4.030468,16.009375,503.839263,0.509859,0.464222,0.256785
3203331375,1,0,-61.303776,12.028661,501.649032,0.663819,0.473089,0.256735,-4.066483,15.989223,503.999302,0.509928,0.464196,0.257134
3203342479,1,0,-61.981564,12.068032,501.663215,0.663870,0.473051,0.257012,-4.428714,16.047494,504.075261,0.510003,0.464145,0.257444
3203353582,1,0,-61.456314,12.057005,501.890017,0.663958,0.472974,0.257329,-3.984306,16.284800,504.302411,0.510046,0.464036,0.257697
3203364685,1,0,-61.487549,12.252189,502.033770,0.663985,0.472903,0.257621,-4.017481,16.247508,504.391915,0.510096,0.463925,0.258037
3203375788,1,0,-61.660652,12.581375,502.528013,0.664012,0.472858,0.257895,-4.039515,16.520413,504.899628,0.510146,0.463856,0.258348
